RecordedDate,Ss: Participant Number (to be filled out by researcher):,interval_1s,Group,Subject,Experience,gender: What is your gender?,age: What is your age (in years)?,Q10: What is the highest level of education you have completed?,cdl: Have you ever had a Commercial Drivers License (CDL) or Professional Equivalent Certification (i.e. special vehicle training)?,cdl_yrs: How long did you have a CDL or Professional Equivalent Certification (in years)?,Q20: Do you have experience driving heavy trucks and/or large vehicles?,Q21: Briefly describe your experience driving heavy trucks and/or large vehicles.,"miles: Over the past five years, what is your average annual mileage (estimate all vehicles combined)?","tickets: In the past year, how many moving or traffic violations have you had?","crashes: In the past year, how many crashes have you been in?",driving_yrs: How many years have you been driving?,total_MMDBQ_score,avg_MMDBQ_score,total_GRiPS_score,avg_GRiPS_score,Q11_1: How often do you do the following while driving... - Attempt to drive away from traffic lights in the wrong gear,Q11_2: How often do you do the following while driving... - Become impatient with a slow driver in the fast lane and pass on the right,Q11_3: How often do you do the following while driving... - Drive especially close to a car in front as a signal to the driver to go faster or get out of the way,Q11_4: How often do you do the following while driving... - Attempt to pass someone that you hadn't noticed to be making a left turn,Q11_5: How often do you do the following while driving... - Forget where you left your car in a parking lot,"Q11_6: How often do you do the following while driving... - Turn on one thing, such as your headlights, when you mean to switch on something else, such as the windshield wipers",Q11_7: How often do you do the following while driving... - Realize that you have no clear recollection of the road along which you have just been traveling,Q11_8: How often do you do the following while driving... - Cross an intersection knowing that the traffic lights have already changed from yellow to red,Q11_9: How often do you do the following while driving... - Fail to notice that pedestrians are crossing when turning onto a side street from a main road,"Q11_10: How often do you do the following while driving... - Angered by another driver's behavior, you catch up to them with the intention of giving him/her ""a piece of your mind""",Q12_1: How strongly do you agree/disagree with the following statements... - Taking risks makes life more fun,Q12_2: How strongly do you agree/disagree with the following statements... - My friends would say that I'm a risk taker,Q12_3: How strongly do you agree/disagree with the following statements... - I enjoy taking risks in most aspects of my life,Q12_4: How strongly do you agree/disagree with the following statements... - I would take a risk even if it meant I might get hurt,Q12_5: How strongly do you agree/disagree with the following statements... - Taking risks is an important part of my life,Q12_6: How strongly do you agree/disagree with the following statements... - I commonly make risky decisions,Q12_7: How strongly do you agree/disagree with the following statements... - I am a believer of taking chances,"Q12_8: How strongly do you agree/disagree with the following statements... - I am attracted, rather than scared, by risk",cyberattack_1: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - The vehicle seemed reliable.,cyberattack_2: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - The vehicle behaved as expected.,cyberattack_3: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - I felt safe.,cyberattack_4: How strongly do you agree/disagree with the following statements about your study drive by the Foothills campus on Laporte Ave (at the turn around point)... - I noticed something wrong with the vehicle.,Q22: Briefly describe what you noticed with the vehicle during the drive.,Q11_1_score,Q11_2_score,Q11_3_score,Q11_4_score,Q11_5_score,Q11_6_score,Q11_7_score,Q11_8_score,Q11_9_score,Q11_10_score,Q12_1_score,Q12_2_score,Q12_3_score,Q12_4_score,Q12_5_score,Q12_6_score,Q12_7_score,Q12_8_score,cyberattack_1_score,cyberattack_2_score,cyberattack_3_score,cyberattack_4_score
4/28/2024 12:05,1,0,1,1,Amateur,Male,39,College degree,"Yes, and I still do.",15,Yes,Tandem axle dump tuck ,"less than 5,000 miles",1,0,24,20,2,27,3.375,Never,Occasionally,Occasionally,Never,Never,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Everything was good,1,3,3,1,1,2,2,3,2,2,3,4,4,1,4,4,4,3,5,5,5,2
5/9/2024 14:22,2,0,1,2,Professional,Male,32,Some education beyond high school but no degree,"Yes, and I still do.",8,Yes,Military/ Fire Department ,"10,000 to 15,000 miles",0,0,16,16,1.6,10,1.25,Never,Occasionally,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Hardly Ever,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Stop Engine warning light..no noticeable power difference ,1,3,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,3,3,4,4
5/9/2024 18:43,3,0,1,3,Amateur,Male,39,"Advanced degree (e.g., JDS, MS, or PhD)","Yes, but not currently.",10,Yes,Driving school buses and large motorcoaches at a ski resort and from for Collins to the Denver international airport. ,"5,000 to 10,000 miles",0,0,23,15,1.5,15,1.875,Never,Hardly Ever,Hardly Ever,Never,Never,Hardly Ever,Never,Occasionally,Never,Never,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Beeping sounds with flashing lights on the dash. The vehicle’s driving felt normal. ,1,2,2,1,1,2,1,3,1,1,2,1,2,1,3,2,2,2,2,1,4,5
5/15/2024 10:59,4,0,1,4,Professional,Male,34,Some education beyond high school but no degree,"No, never.",NA,Yes,"Up to 36’ box trucks, water tankers, fire engines, ladder trucks, large trucks with trailors","20,000 to 25,000 miles",0,0,16,17,1.7,33,4.125,Never,Occasionally,Hardly Ever,Hardly Ever,Never,Hardly Ever,Hardly Ever,Hardly Ever,Never,Never,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,It went into alarm and said there was an issue with the brakes. ,1,3,2,2,1,2,2,2,1,1,5,4,4,1,5,5,4,5,4,5,5,5
5/16/2024 13:00,5,0,1,5,Amateur,Male,45,Some education beyond high school but no degree,"Yes, but not currently.",15,Yes,Crane carriers ,"20,000 to 25,000 miles",0,0,30,22,2.2,25,3.125,Occasionally,Quite Often,Occasionally,Hardly Ever,Never,Never,Hardly Ever,Occasionally,Hardly Ever,Never,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Loss in speedometer and tacometer. Most gauges ,3,4,3,2,1,1,2,3,2,1,3,4,3,3,3,3,3,3,2,4,5,5
5/20/2024 11:16,7,0,1,6,Professional,Female,61,Some education beyond high school but no degree,"Yes, and I still do.",4.5,Yes,"Box trucks, public transportation buses, articulated buses","more than 25,000 miles",0,0,45,15,1.5,14,1.75,Never,Hardly Ever,Never,Never,Hardly Ever,Hardly Ever,Hardly Ever,Hardly Ever,Never,Never,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Check engine and stop engine lights and buzzer came on. Went away when I pulled over and put transmission in neutral. ,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,2,3,2,4,5,5,4
5/21/2024 9:21,8,0,1,7,Professional,Male,24,College degree,"Yes, and I still do.",1,Yes,Driving buses for 3 months,"more than 25,000 miles",0,0,7.5,19,1.9,24,3,Never,Occasionally,Hardly Ever,Never,Never,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Never,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,"When crossing Overland WB on Laporte, the box truck gauges and lights all of sudden stopped working/flashed on. After pulling over, setting the park brake, and putting it into neutral, box truck cleared codes and was safe to operate with researcher's approval.",1,3,2,1,1,2,3,3,2,1,2,2,3,2,4,3,4,4,3,2,4,5
5/23/2024 11:44,9,0,1,8,Amateur,Male,24,College degree,"Yes, and I still do.",1,No,,"5,000 to 10,000 miles",0,0,8,29,2.9,9,1.125,Never,Occasionally,Hardly Ever,Hardly Ever,Frequently,Occasionally,Frequently,Occasionally,Occasionally,Hardly Ever,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,"The truck was super bumpy and when we almost got to the turn around point, we got a lot of warning lights and buzzers also I could no longer see how fast we were going so I had to guess. Thankfully it fixed itself but that was not fun",1,3,2,2,5,3,5,3,3,2,1,1,1,1,1,2,1,1,2,1,2,5
5/24/2024 10:33,10,0,1,9,Professional,Male,62,Some education beyond high school but no degree,"Yes, and I still do.",NA,Yes,From 2010 to present full time commercial driver. Class A license. OTR and regional big trucks until Mar 2018 started with Transfort as a bus operator and Operator Trainer the last 18 months.,"20,000 to 25,000 miles",1,0,48,17,1.7,20,2.5,Never,Occasionally,Hardly Ever,Hardly Ever,Never,Hardly Ever,Never,Hardly Ever,Hardly Ever,Never,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Engine warning and stop engine lights came on during the drive ,1,3,2,2,1,2,1,2,2,1,3,3,2,1,2,2,3,4,5,4,5,4
6/7/2024 11:31,11,0,1,10,Amateur,Male,23,College degree,"No, never.",NA,Yes,Have driven moving trucks,"10,000 to 15,000 miles",0,0,8,23,2.3,33,4.125,Never,Hardly Ever,Quite Often,Hardly Ever,Occasionally,Never,Occasionally,Quite Often,Hardly Ever,Never,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Seemed the oil pressure was a bit too low and the engine was overheating. Midway through the drive the vehicle starting throwing codes and I had to pull over. The codes suddenly disappeared however and I drove more conservatively for the rest of the study to attempt to not overheat the engine again.,1,2,4,2,3,1,3,4,2,1,5,4,5,4,4,2,5,4,2,3,3,5
